College_AISHE_Code,College_Address,College_Affiliation_Type_Description,COLLEGE_SSP_CODE,COLLEGE_NAME,COLLEGE_TYPE_SSP_CODE,SEAT_TYPE_NAME,SEAT_TYPE_SSP_CODE,DISTRICT_SSP_CODE,College_District_Name,Evening_College,State_Name,TALUK_SSP_CODE,College_Taluk_Name,University_AISHE_Code,University_Code,University_Name,University_Type,College_type
C-9827,NULL,AFFILIATED COLLEGE,23138,"Sri Mahadevappa Gaddagi Law College, Bidar",3,Private Seat in Private College,3,529,BIDAR,NULL,Karnataka,5457,Bidar,U-0227,1040,"Karnataka State Law University, Hubli(Id: U-0227)",State Public University,Private Un-Aide
C-61829,NULL,AFFILIATED COLLEGE,23159,"Goutham College of Law, Bengaluru",3,Private Seat in Private College,3,525,BENGALURU URBAN,NULL,Karnataka,5542,Bengaluru North,U-0227,1040,"Karnataka State Law University, Hubli(Id: U-0227)",State Public University,Private Un-Aide
C-62187,NULL,AFFILIATED COLLEGE,23160,"Padma Law College, Bengaluru",3,Private Seat in Private College,3,525,BENGALURU URBAN,NULL,Karnataka,5542,Bengaluru North,U-0227,1040,"Karnataka State Law University, Hubli(Id: U-0227)",State Public University,Private Un-Aide
C-57612,NULL,AFFILIATED COLLEGE,23212,"Vijnaneshwara Government Law College, Gulbarga",1,Government Seat in Govt. College,1,538,KALABURAGI,NULL,Karnataka,5582,Kalaburagi,U-0227,1040,"Karnataka State Law University, Hubli(Id: U-0227)",State Public University,Government
C-62188,NULL,AFFILIATED COLLEGE,23752,"Soundarya College of Law, Bengaluru",3,Private Seat in Private College,3,525,BENGALURU URBAN,NULL,Karnataka,5542,Bengaluru North,U-0227,1040,"Karnataka State Law University, Hubli(Id: U-0227)",State Public University,Private Un-Aide
C-62541,NULL,AFFILIATED COLLEGE,23785,"BRITE Law College, Bengaluru",3,Private Seat in Private College,3,525,BENGALURU URBAN,NULL,Karnataka,7103,YALAHANKA,U-0227,1040,"Karnataka State Law University, Hubli(Id: U-0227)",State Public University,Private Un-Aide
C,NULL,Affiliated College,23934,"Jawahar Law College, Yadgir",3,Private Seat in Private College,3,635,Yadgir,NULL,Karnataka,5589,Yadgir,U-0227,1040,"Karnataka State Law University, Hubli(Id: U-0227)",State Public University,Private Un-Aide
C,NULL,Affiliated College,23936,"Sharada Vikas School of Excellence for Law, Bengaluru",3,Private Seat in Private College,3,525,BENGALURU URBAN,NULL,Karnataka,5543,Bengaluru South,U-0227,1040,"Karnataka State Law University, Hubli(Id: U-0227)",State Public University,Private Un-Aide
C,NULL,Affiliated College,23935,"Indira Priyadarshini Law College, Bengaluru",3,Private Seat in Private College,3,525,BENGALURU URBAN,NULL,Karnataka,7103,YALAHANKA,U-0227,1040,"Karnataka State Law University, Hubli(Id: U-0227)",State Public University,Private Un-Aide
C,NULL,Affiliated College,23937,"Karunadu Law College, Bengaluru",3,Private Seat in Private College,3,525,BENGALURU URBAN,NULL,Karnataka,7103,YALAHANKA,U-0227,1040,"Karnataka State Law University, Hubli(Id: U-0227)",State Public University,Private Un-Aide
C,NULL,Affiliated College,25164,UNIVERSAL SCHOOL OF LAW,3,Private Seat in Private College,3,525,BENGALURU URBAN,NULL,Karnataka,5543,Bengaluru South,U-0227,1040,"Karnataka State Law University, Hubli(Id: U-0227)",State Public University,Private Un-Aide
